,Average,Date
244,52.63281111111111,2015-12-18
245,51.491448148148145,2015-12-21
246,52.018679629629624,2015-12-22
247,53.889796296296296,2015-12-23
248,54.606129629629635,2015-12-24
249,53.286588888888886,2015-12-28
250,53.892485185185194,2015-12-29
251,53.24921666666666,2015-12-30
252,53.14707407407408,2015-12-31
253,53.100285185185186,2016-01-04
254,53.04901296296297,2016-01-05
255,51.0094462962963,2016-01-06
256,49.82869814814814,2016-01-07
257,49.25484629629631,2016-01-08
258,48.22324074074075,2016-01-11
259,47.49306481481482,2016-01-12
260,47.29842592592593,2016-01-13
261,47.37954074074074,2016-01-14
262,46.46964814814814,2016-01-15
263,46.406053703703705,2016-01-19
264,44.226785185185186,2016-01-20
265,45.79989814814814,2016-01-21
266,48.502953703703696,2016-01-22
267,47.490288888888884,2016-01-25
268,47.25337777777778,2016-01-26
269,48.41368518518517,2016-01-27
270,49.758707407407414,2016-01-28
271,50.68620370370371,2016-01-29
272,50.37907222222221,2016-02-01
273,49.16129629629631,2016-02-02
274,49.31559629629629,2016-02-03
275,50.87295925925925,2016-02-04
276,48.85033518518518,2016-02-05
277,47.335168518518515,2016-02-08
278,46.781483333333334,2016-02-09
279,46.6643425925926,2016-02-10
280,45.56422222222222,2016-02-11
281,47.111185185185185,2016-02-12
282,47.91888518518519,2016-02-16
283,49.36206296296296,2016-02-17
284,49.59776851851852,2016-02-18
285,48.485451851851856,2016-02-19
286,50.246479629629626,2016-02-22
287,49.38376851851852,2016-02-23
288,48.13167037037037,2016-02-24
289,48.48961111111112,2016-02-25
290,49.76497407407407,2016-02-26
291,49.302240740740736,2016-02-29
292,49.40895555555556,2016-03-01
293,50.74275925925926,2016-03-02
294,52.246294444444445,2016-03-03
295,53.15969259259259,2016-03-04
296,53.70564814814816,2016-03-07
297,53.05102037037037,2016-03-08
298,52.71336296296296,2016-03-09
299,52.45341481481482,2016-03-10
300,54.43178703703703,2016-03-11
301,54.33460555555556,2016-03-14
302,53.77155740740741,2016-03-15
303,55.09094814814814,2016-03-16
304,56.24981111111112,2016-03-17
305,56.42391111111111,2016-03-18
306,56.11031666666667,2016-03-21
307,56.0269574074074,2016-03-22
308,55.01406481481481,2016-03-23
309,53.92241666666667,2016-03-24
310,54.410516666666666,2016-03-28
311,54.025316666666676,2016-03-29
312,55.14065555555556,2016-03-30
313,54.89847407407407,2016-03-31
314,54.09166851851852,2016-04-01
315,54.23229814814814,2016-04-04
316,53.50489074074074,2016-04-05
317,54.26759259259259,2016-04-06
318,54.533818518518515,2016-04-07
319,55.9210962962963,2016-04-08
320,56.06985925925927,2016-04-11
321,56.73546296296296,2016-04-12
322,57.31443888888889,2016-04-13
323,57.621892592592594,2016-04-14
324,56.96992222222223,2016-04-15
325,56.4588037037037,2016-04-18
326,58.687351851851844,2016-04-19
327,59.19977222222222,2016-04-20
328,59.506766666666664,2016-04-21
329,59.95325555555556,2016-04-22
330,59.607120370370374,2016-04-25
331,60.462483333333324,2016-04-26
332,61.98091481481482,2016-04-27
333,61.758981481481484,2016-04-28
334,60.87824074074074,2016-04-29
335,60.417342592592604,2016-05-02
336,59.16802962962962,2016-05-03
337,58.645816666666676,2016-05-04
338,59.176674074074064,2016-05-05
